"asin","reviewer_id","reviewer_name","summary","review_text","overall","review_time","unix_review_time","helpful"
"0316228532","AY2UIGHCB4VPB","","but a good read!","A departure for her, but a good read!",5,"07 12, 2014",1405123200,"[0, 0]"
"0316228532","A2L17U0TWH9UWS","1075","Not worth the time","I had a hard time remembering who each character was - with the exception of the teen-aged boy, they all blended together as little people with big egos!",2,"11 12, 2013",1384214400,"[0, 1]"
"0316228532","A2R63TBVG5OAF6","12121","The Casual Vacancy","This is the only review I have ever written.  I have never felt the need to tell people to save their money on a book before.  This book is painful to read.  I made it half way through the book, before I put it down for good.  I expected so much more from this author.",1,"10 1, 2012",1349049600,"[13, 25]"
"0316228532","ACU39L9G696US","123esmo","Expecting more from J.K. Rowling","I was expecting more from J.K. Rowling, it's a bit depressing and slow. I read a lot, however I just can't finish this book, boring.",2,"01 10, 2013",1357776000,"[0, 1]"
"0316228532","A3N7KY1PBMF880","&#34;Bad Cat!&#34;","Sorry That I  Bought It.","As big a fan as I am of J K Rowling's Harry Potter books, I hate to say how much I did not enjoy ""Casual Vacancy.""  I knew it was written for adults, not children, but adults were some of the Harry Potter series' biggest fans, so I didn't know how different this book would be.  ""Casual Vacancy"" just made me miss the Harry Potter characters more.  I quit this book in the middle, which is something that I never do.  ""Casual Vacancy""  was just a disappointment, so depressing an attempt to seem to be clever.  I'm sorry that I bought this book.",1,"05 11, 2013",1368230400,"[0, 3]"
"0316228532","A1ZMP9N721MXPQ","70Randy ""Randy""","Too many characters","Loved all of the Potter books especially the earlier ones. Tried to get through about 100 pages of this but the number of ill-defined characters left me behind. Trying to sort them out became too much for me.",2,"01 19, 2013",1358553600,"[0, 1]"
"0316228532","A1A9413I74BEOZ","A. Ackerman","Couldn't Do It","I was so excited to see what Rowling would do for her first adult novel, and I'm greatly disappointed.  I couldn't get into the story at all.  There were way too many characters and I couldn't keep them all straight.  But more importantly, I didn't really care to.  None of the characters were interesting - they all seemed so depressing!  So yeah, I didn't finish it, and even if you tell me it all makes sense in the end, I won't be picking it up again.  At least we'll always have Harry....",1,"10 3, 2012",1349222400,"[17, 28]"
"0316228532","A2VTZG179DNMJK","A. Allen","I'm not sure what I can add, but here's my review for this Devastating Masterpiece","Ahh, I think I've been avoiding this review.In two words, I would say this book is &#34;Devastating Masterpiece.&#34; It's devastating. It's brilliant. And, oh, by the way, it is NOTHING like Harry Potter.As I've said to many people since finishing the book, it's best to think about this as by a different author altogether. Trying to put the Rowling-you-know into this book just creates a disjointedness that is hard to reconcile. Take it separately.Rowling has a knack for characters. I really don't know how she does it. She has created a world of peoples inside this tiny English village abutting a city that you feel like you know. The &#34;main characters&#34; range in age from their mid-teens to their mid-sixties or seventies... And they're all just as believable as the next. And they are all so very very flawed.Superficially, this book is about someone dying in this small town in England, leaving open a vacancy in the town government. What happens next is a whirlwind of activity as the two &#34;sides&#34; in the town vie for the open seat.In this book, you name it and Rowling's probably covered it.  Assuming what you're naming is dark and desperate. While I disagree that she felt the need to &#34;prove herself&#34; by covering so much hard and gritty ground, as some reviewers had suggested, it did almost feel at times as if the darker side of life was fighting to get out, and it all landed in this book.  I mean, seriously: drugs, sex, rape, adultery, jealousy, hatred, fear, abuse, etc. It's there.Nevertheless, somehow Rowing creates a story about the human condition of hope. With peoples you know. And in this normal, run-of-the-mill life story, extraordinary circumstances occur. Brilliant. Devastating. Hopeful.FOUR AND A HALF of five stars (but inching toward 5, so 5 on those sites w/o half stars :))",5,"06 20, 2014",1403222400,"[0, 0]"
"0316228532","A2MHZFCK51WTR","abrenzikofer","very dark and depressing","I dont understand the point of this book. It was filled with characters who were miserable. I had a hard time keeping up with all the characters thrown at you in the beginning. Very depressing. I love to read and escape, but this was just so dark and dirty. No one seems to learn their lessons. Maybe I am not looking ""deep"" enough. Also would not let a child or teenager read this. Very strong language, sex, drugs, rape and abuse.",1,"10 1, 2012",1349049600,"[13, 27]"
"0316228532","A3DGB4HN3QCGAL","A. Burchfield","The name of the author sold lots of copies!","I seriously considered buying this book just on the strength of the author's reputation as the writer of the Harry Potter series- I'm glad that I didn't. The &#34;Potter&#34; books were very long but easily readable, this book, by the same author- is something else.I first read a couple of &#34;free&#34; chapters in e-book form and then checked out a hardback copy at my local library- if I didn't know better I'd say I had books by two completely different authors.While I could sit down and easily read 100 pages of any &#34;Harry&#34; book in one sitting two chapters of &#34;Casual Vacancy&#34; is real work. Both &#34;Harry&#34; and &#34;Casual&#34; are very British in character so it isn't that. I think the author must've adopted a somewhat different writing style this time around- every time I've picked this book up I just couldn't make myself care about any of the characters. It seemed like the author just wrote down whatever flowed out of her mind without working so hard to develop anything.A lot of unpleasant characters, more sex and &#34;cussing&#34; than in a Tom Clancy or other adult adventure novel (and in some of those I do manage to care about somebody), &#34;The Casual Vacancy&#34; was not for me at all. Plenty of people have given 5 star reviews but so many more have given less- some of us much less. Not a book for the kids or a lot of other readers.If you haven't read it yet, get a copy at the library first- and if you're like me you'll find yourself thinking you'll wait to find a discounted, very much so, paperback copy in a flea market or garage sale. If this book is JK Rowling for &#34;adults&#34; her career is already over with.",2,"03 5, 2013",1362441600,"[0, 1]"
"0316228532","A2HFCSZC3GCXSQ","A. Carter","No Fancy Review...just my humble opinion.","Ok Folks, from a housewife who just loves to read.....here is MY simple review of The Casual Vacancy.  I really enjoyed it.  I found it very thought provoking and real.  It is a look into the lives of several families who are affected by the death of a prominent counsel member.  J. K. Rowling created well rounded characters and intertwined them beautifully.  Sometimes I thought the book was funny, sometimes it was sad, sometimes confusing, shocking, and while some reviewers felt that the end was predictable, I did not see it coming.  I enjoyed seeing the characters evolve, even though it took them, especially the adults, to the END of the book to make positive changes.  I found the story line very real and dealing with issues that are happening in todays world.  I read that many of the reviewers found it too dark and depressing, and felt that J. K. Rowling was attempting to be edgy by throwing in all of these hot button issues....I disagree with that.  The issues in this book, found in this community, are issues found in most communities whether one cares to believe that or not.I suppose this type of book is not for everyone.  If you are the type of person who wants a clear cut story, idea, and an answer at the end, If you want it all spelled out for you then don't waste your time.  If you are the type of person who is a people watcher, who enjoys studying the human condition, and stretching yourself then you will certainly feel rewarded for reading The Casual Vacancy.",4,"12 2, 2013",1385942400,"[0, 0]"
"0316228532","A2M3WZ9GVIMCBZ","Acorn","Well written and engaging","The difference between JK Rowling and many other authors to find success in print and screen is this: JK Rowling can actually write. The Casual Vacancy is not the page-turner that Harry Potter was, but it's still engaging. You feel for the characters and care about what will happen to them. Each has a complexity that you don't expect, making the book fascinating, even if the story is a little boring. Her use of the English language makes you wish you had paid attention to your Word of the Day calendar, and serves as a reminder to be grateful for the Kindle's built-in dictionary.",3,"11 5, 2012",1352073600,"[1, 1]"
"0316228532","A3D0NZJHMX9RMI","A. Fleming","Fascinating, well-written story - difficult to put down once you start","While the storyline for this book is completely different in every way from the Harry Potter series, Rowling's pure writing talent shines through as stromg as ever. She takes a narrative that, in the hands of anyone else, would be boring (small town politics and gossip) and makes it fascinating and difficult to put down. Barry Fairbrother is the character who dies at the very beginning, setting off the events of the book. And yet...Rowling makes you care about him, a character you barely meet. She makes you care about all of the inhabitants of the town, and makes you see the motivations and passions driving all of them - there is no objective right or wrong in this little world of Pagford, no true good or evil. It must be said, however, that Rowling does not gloss over harsh realities of life here.The one flaw I found with this book is e sheer number of &#34;main&#34; characters. I am not great with names, so it took a little time before I was truly engaged in the story because it took a while to figure out who was who. Once I did, I was very glad I stuck with it.I definitely recommend this book to any reader of modern fiction, but if you are interested solely because of her past works and not her style and talent in general, you will be disappointed.",4,"10 20, 2013",1382227200,"[0, 0]"
"0316228532","A2PPSZT4DBCWL8","A. Frederick","Sad little community.","Package arrived promptly and in great shape.  The book was on CDs, could not finish, sad depressing town, people the same have given the CDs away.  Sorry this book was not my ""cup of tea"" and was really looking forward to the read.",2,"10 24, 2012",1351036800,"[1, 3]"
"0316228532","A3TAHB4040Z36B","Agnieszka Dadura","Well written characters and story","If I was to tell you what this book is about your probably think it's boring. But the way the characters are created, I couldn't stop reading. Some if them are not mineable at all, in some of them you can find pieces of yourself. Very well written and thought provoking.",5,"06 4, 2014",1401840000,"[0, 0]"
"0316228532","A3R7Z2P2H8O78Z","a good reader","Casual Vacancy","Could not get past the first chapter, totally uninteresting; I thought this book might be different from the others she has written.",2,"12 11, 2012",1355184000,"[0, 3]"
"0316228532","A1PWYBLAXEYYNX","A. Gurvin ""Raise the Bar""","can't get you out of my head","J k Rowling reveals the inner life of her characters. As my daughter said, 'By the middle of the book, you hate every character.' By the end of the book you find compassion for most of them.",4,"10 27, 2013",1382832000,"[1, 1]"
"0316228532","A2IURA43YJCG04","Ajay","Real, Gritty  and Eminently Readable - Rowling Triumphs once again","I have been having a bit of a laugh by reading all the negative reviews on Amazon. Firstly, we had a whole lot of people whinging about the ebook price. Now, we have a whole lot criticising its 'filthy' language.This particular review takes the top prize (I have copy pasted it from Amazon)....""Customer ReviewMy 8 year old read this, I am disgusted by all the sex and drug use., September 27, 2012By J. MangineThis review is from: The Casual Vacancy (Hardcover)It was my 8 year old daughters birthday and I happened to be in my local book store. I saw this in a display and thought ""...Wow, she wrote the Harry Potter series, my daughter Ophelia would love this"".Anyway, I wrapped it up and gave it to her.Next thing I knew she asked me questions about drugs and sex..she said they were in the book I bought for her birthday.I feel that her childhood is gone now.This book should be sold BEHIND the counter so people know its not for children.How can we expect our children to grow up happy and healthy when filth is all around? ""Does America really have such a large number of prudes?Coming back to the book, let me add here that I interrupted my Booker Prize Shortlist Reading Challenge, to read 'The Casual Vacancy'. As I have been reading a lot of literary fiction, I can confidently say that 'The Casual Vacancy' is a literary book. It takes a master story teller to take snapshots of everyday life with all its ordinariness, ugliness, pain and heartbreak and weave into a page turning exciting read. In spite of all the prudes, Rowling has triumphed once again.I have a feeling that if this book had not come with the Rowling brand and had been written by someone like say Zadie Smith, the very people who have been criticising this book (the lit-critics) might have celebrated it.PS - I will be posting a detailed review once I have completed my Booker Reading Challenge.",5,"10 4, 2012",1349308800,"[6, 16]"
"0316228532","A1MEED2EJVRHZ0","A. Jones ""arj""","I wanted to like it","It's interesting that the majority of the reviews on this book are either at one end or another.I couldn't get through this book at all. Somebody asked about 1984 above. 1984 was one of the most well written, captivating books ever. It was dark but it was dark with a purpose. The problem with this book is not just that it is dark, it's non-stop dark for no  reason. The characters are uniformly unlikable. There was no character for me to hook onto. I recall writing a similar disappointed review for a similarly gifted writer a couple of years ago for exactly the same reasons. It's dark for no good reason. It gets 2 stars because J. K. Rowling is still talented.",2,"01 9, 2014",1389225600,"[0, 0]"
